Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
james-small,James Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_James_Small.jpg?v=1614533689,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
james-x-large,James X Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,528,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_James_X_Large.jpg?v=1614533755,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
jordan-large,Jordan Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Jordan_Large.jpg?v=1614533744,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
jordan-small,Jordan Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Jordan_Small.jpg?v=1614533700,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
juliayn-large,Juliayn Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Juliayn_Large.jpg?v=1614533712,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
juliayn-small,Juliayn Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Juliayn_Small.jpg?v=1614533673,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kai-large,Kai Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kai_Large.jpg?v=1614533729,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kai-small,Kai Medium,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,248,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kai_Medium.jpg?v=1614533686,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kalani-large,Kalani Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kalani_Large.jpg?v=1614533741,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kalani-small,Kalani Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kalani_Small.jpg?v=1614533701,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kelly-green-large,Kelly Green Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kelly_Green_Large.jpg?v=1614533741,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kelly-green-small,Kelly Green Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kelly_Green_Small.jpg?v=1614533692,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kelly-large,Kelly Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kelly_Large.jpg?v=1614533737,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
kelly-small,Kelly Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Kelly_Small.jpg?v=1614533695,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
lacy-large,Lacy Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Lacy_Large.jpg?v=1614533738,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
lacy-small,Lacy Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Lacy_Small.jpg?v=1614533692,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
laura-large,Laura Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Laura_Large.jpg?v=1614533732,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
lolita-large,Lolita Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Lolita_Large.jpg?v=1614533733,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
lolita-small,Lolita Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Lolita_Small.jpg?v=1614533695,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
maddie-large,Maddie Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Coral,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Maddie_Large.jpg?v=1614533602,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
maddie-small,Maddie Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Coral,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Maddie_Small.jpg?v=1614533586,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
maize-large,Maize Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Maize_Large.jpg?v=1614533629,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
maize-large-seven,Maize Large 7 inch,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,288,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Maize_Large.jpg?v=1614533629,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
maize-small,Maize Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Maize_Small.jpg?v=1614533602,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
maize-small-seven,Maize Small 7 inch,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,228,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Maize_Small.jpg?v=1614533602,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
nora-small,Nora Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Nora_Small.jpg?v=1614533688,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
nova-large,Nova Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Nova_Large.jpg?v=1614533741,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
nova-small,Nova Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Nova_Small.jpg?v=1614533696,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
ocean-large,Ocean Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Ocean_Large.jpg?v=1614533740,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
ocean-small,Ocean Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Ocean_Small.jpg?v=1614533701,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
olivia-large,Olivia Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Coral,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Olivia_Large.jpg?v=1614533604,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
olivia-small,Olivia Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Coral,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Olivia_Small.jpg?v=1614533586,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
owen-large,Owen Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Owen_Large.jpg?v=1614533741,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
owen-small,Owen Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Owen_Small.jpg?v=1614533703,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
paige-large,Paige Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Paige_Large.jpg?v=1614533738,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
paige-small,Paige Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Paige_Small.jpg?v=1614533695,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
phoenix-large,Phoenix Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Phoenix_Large.jpg?v=1614533746,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
phoenix-small,Phoenix Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Phoenix_Small.jpg?v=1614533705,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
pilar-large,Pilar Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Grey Mountain,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Pilar_Large.jpg?v=1614533628,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
pilar-small,Pilar Medium,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Grey Mountain,TRUE,Title,Default Title,,,,,,250,,deny,manual,248,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Pilar_Small.jpg?v=1614533607,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
priscilla-grey-large,Priscilla Grey Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Grey Mountain,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Priscilla_Large.jpg?v=1614533722,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
priscilla-grey-x-large,Priscilla Grey X Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Grey Mountain,TRUE,Title,Default Title,,,,,,250,,deny,manual,528,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Priscilla_X_Large.jpg?v=1614533752,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
priscilla-large,Priscilla Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Red,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Priscilla_Red_Large.jpg?v=1614533737,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
priscilla-x-large,Priscilla X Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Red,TRUE,Title,Default Title,,,,,,250,,deny,manual,528,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Priscilla_Red_X_Large.jpg?v=1614533754,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
sahara-large,Sahara Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Sahara_Large.jpg?v=1614533745,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
sahara-medium,Sahara Medium,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,248,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Sahara_Medium.jpg?v=1614533720,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
sienna-large,Sienna Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Sienna_Large.jpg?v=1614533729,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
sienna-small,Sienna Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Sienna_Small.jpg?v=1614533684,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
special-edition-to-small,Special Edition: Tó Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_To_Small.jpg?v=1614533745,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
special-edition-to-x-large,Special Edition: Tó X Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,528,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_To_X_Large.jpg?v=1614533625,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
stella-large,Stella Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Stella_Large.jpg?v=1614533744,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
stella-small,Stella Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Stella_Small.jpg?v=1614533705,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
summer-large,Summer Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Summer_Large.jpg?v=1614533726,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
summer-small,Summer Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Sage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Summer_Small.jpg?v=1614533679,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
tai-large,Tai Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Tai_Large.jpg?v=1614533743,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
tai-medium,Tai Medium,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,248,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Tai_Medium.jpg?v=1614533700,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
tallulah-large,Tallulah Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Thunderbird_Large.jpg?v=1614533739,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
tallulah-small,Tallulah Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Thunderbird_Small.jpg?v=1614533701,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
tess-large,Tess Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Tess_Large.jpg?v=1614533735,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
tess-small,Tess Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Tess_Small.jpg?v=1614533694,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
theo-large,Theo Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Theo_Large.jpg?v=1614533738,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
theo-small,Theo Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Aqua,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Theo_Small.jpg?v=1614533685,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
